name,party,tax_raise,defense_spend,same_sex,nuclear_restart,immigration,carbon_tax,child_budget,policy,tax_raise_quote,defense_spend_quote,same_sex_quote,nuclear_restart_quote,immigration_quote,carbon_tax_quote,child_budget_quote
岸田文雄,自民,0.3,0.4,-0.4,0.7,-0.2,0.2,0.8,"少子化対策を最重視。財源確保のため増税容認、防衛費倍増も推進。","「次世代への責任として必要な増税は避けられない」","「日米同盟の抑止力強化へ防衛費を増額する」","―","「原発再稼働による安定供給を確保する」","「特定技能の受入れを円滑に進める」","「GX 推進へ炭素税の活用を検討」","「こども未来戦略の財源を確保する」"
高市早苗,自民,0.6,0.9,-0.8,1.0,-0.5,0.0,0.3,"経済安保・憲法改正派。原発再稼働と防衛力強化を強く主張。","「消費税減税は無責任だ」","「敵基地反撃能力の保有を急ぐ」","「同性婚は伝統的家族観に反する」","「プラント寿命延長を前提に再稼働を推進」","―","「GX は価格より供給安定が先」","「保育士の待遇改善が急務」"
河野太郎,自民,-0.2,0.3,0.2,-0.3,0.4,0.8,0.6,"行政改革と再エネ推進。原発には慎重、増税より歳出削減を重視。","「増税より先に歳出改革が必要だ」","「専守防衛の範囲で能力を高める」","「パートナーシップ法を速やかに」","「原発新設には反対」","「高度外国人材の受け入れ拡大を」","「炭素税で再エネ投資を促す」","「子ども予算は将来への先行投資」"
茂木敏充,自民,0.2,0.5,-0.5,0.6,-0.1,0.1,0.5,"財務健全化派。外交安保と経済成長のバランスを取る現実路線。","「財源なきバラマキは許されない」","「防衛費 2% 目標を堅持」","―","「原発は重要なベースロード電源」","―","「国際ルールに沿った炭素課税を」","「出産一時金の更なる引上げを」"
石破茂,自民,-0.1,0.5,0.0,0.4,0.2,0.4,0.7,"地方創生と防災重視。経済・社会保障は中道路線。","「増税か否かは国民理解が前提」","「自衛隊の装備体系を再検討」","「多様な生き方を尊重すべき」","「安全を最優先に段階的再稼働」","「共生社会のため移民議論を」","「炭素価格づけは避けて通れない」","「地方子育て支援を強化」"
麻生太郎,自民,0.8,0.7,-0.9,0.9,-0.4,-0.2,0.2,"財務タカ派。財政規律と防衛強化を訴え、社会保守色が強い。","「増税なくして財政再建なし」","「抑止力を高める投資を」","「憲法との整合性に疑問」","「原子力は国家の責任で活用」","「単純労働の移民受入れは慎重に」","「企業競争力を損ねる課税は反対」","「3 世代同居促進で負担軽減」"
鈴木俊一,自民,0.7,0.4,-0.6,0.8,-0.3,0.3,0.6,"財政再建・増税に前向き。エネルギー安全保障優先の立場。","「社会保障財源としての増税は必要」","「スタンドオフ防衛力を整備」","―","「核燃料サイクルを着実に推進」","―","「炭素税収は技術開発に充当」","「出産費用の保険適用を探る」"
林芳正,自民,0.1,0.6,-0.2,0.5,-0.1,0.3,0.8,"外交重視のハト派。少子化・教育投資拡大に柔軟。","「財政健全化と成長の両立を」","「抑止と対話を統合した防衛外交」","「差別のない社会を目指す」","「次世代炉開発も選択肢」","「技能実習制度の改善を進める」","「国際連携で炭素市場を構築」","「教育国債の活用を検討」"
山口那津男,公明,0.0,-0.3,0.4,-0.6,0.5,0.7,1.0,"福祉・子育て重視で穏健。平和主義、高齢者や弱者支援が柱。","「消費税は社会保障の財源」","「専守防衛を逸脱しない範囲で」","「同性婚法制化を前向きに検討」","「脱原発を着実に進める」","「難民受入れ体制を強化」","「課税は国際協調が大切」","「児童手当の所得制限撤廃を」"
井上義久,公明,0.1,-0.2,0.3,-0.5,0.4,0.6,0.9,"税制は中立。社会保障と環境政策を総合的に推進。","「負担と給付の見直しを議論」","「防衛費は実効性をもって」","「LGBT 理解増進を法整備」","「再処理工場の安全確保が前提」","「留学生の受入れ枠拡大を」","「炭素税でグリーン投資を加速」","「子ども関連予算は倍増を」"
泉健太,立民,-0.4,-0.2,0.6,-0.7,0.3,0.4,0.9,"消費税減税や教育無償化を掲げるリベラル寄り。","「消費税 5％ へ時限的減税」","「防衛費倍増の根拠が曖昧」","「早期に婚姻平等を実現」","「原発ゼロ法案の成立を目指す」","「共生社会ビジョンを策定」","「炭素税は産業構造転換とセットで」","「給付型奨学金を抜本拡充 "
岡田克也,立民,-0.3,-0.3,0.5,-0.6,0.2,0.5,0.8,"財政再建と脱原発を両立。外交では現実路線。","「将来世代へツケを残さない」","「緊張緩和には外交が不可欠」","「パートナーシップ法を強化」","「原発ゼロを現実的ステップで」","―","「排出量取引と併せた課税を」","「子ども関連歳出を国際水準へ」"
蓮舫,立民,-0.6,-0.5,0.9,-0.9,0.6,0.7,0.8,"行革・脱原発を強調。多様性推進と弱者支援に積極的。","「無駄削減で増税を回避」","「外交努力で緊張回避を」","「婚姻平等は急務」","「原発から再エネへ大胆転換」","「共生社会へ入管改革を」","「公正な炭素課税を導入」","「保育士給与を 5 万円引上げ」"
枝野幸男,立民,-0.5,-0.4,0.7,-0.8,0.5,0.6,0.9,"護憲・脱原発を主張。格差是正と包摂型社会を掲げる。","「消費税減税は家計支援」","「専守防衛の範囲を守る」","「LGBT 平等法で差別解消」","「原発ゼロで雇用創出」","「人道的観点で難民保護を」","「CO2 課税で再エネへシフト」","「子ども手当の拡充が急務」"
馬場伸幸,維新,-0.2,0.6,-0.2,0.7,0.4,0.3,0.4,"小さな政府と規制緩和。教育バウチャーや成長戦略を推進。","「減税で民間投資を促す」","「防衛力強化は国の責務」","―","「新型炉の開発も検討すべき」","「高度人材で成長加速」","「イノベーション志向の炭素税を」","「教育バウチャーで格差是正」"
吉村洋文,維新,-0.3,0.7,0.1,0.8,0.5,0.4,0.7,"維新改革モデルを全国展開。子育て支援と経済成長を両立。","「減税と行革で経済を活性化」","「抑止力強化へ法整備も」","「多様性は大阪の強み」","「次世代原子炉の研究を推進」","「観光立国にはビザ緩和を」","「炭素課税は段階導入を」","「私立高校無償化を全国で」"
